Accession	Location	Organism	Specimen_Voucher	Isolate	Gcode	Country	Lat_lon	Collection_date	Collected_by	Tech
dbjAB757992.1	mitochondrion	Ischnura_senegalensis		kirara09M8	5	Japan:_Yamaguchi,_Yamaguchi				
dbjAB757991.1	mitochondrion	Ischnura_senegalensis		kirara09M6	5	Japan:_Yamaguchi,_Yamaguchi				
dbjAB757987.1	mitochondrion	Ischnura_senegalensis		kirara09M2	5	Japan:_Yamaguchi,_Yamaguchi				
dbjAB757983.1	mitochondrion	Ischnura_senegalensis		kanazawa11M7	5	Japan:_Ishikawa,_Kanazawa				
dbjAB758093.1	mitochondrion	Ischnura_senegalensis		yonago09M1	5	Japan:_Tottori,_Yonago				
dbjAB758092.1	mitochondrion	Ischnura_senegalensis		urasoe11M8	5	Japan:_Okinawa,_Urasoe				
dbjAB758090.1	mitochondrion	Ischnura_senegalensis		urasoe11M6	5	Japan:_Okinawa,_Urasoe				
dbjAB758089.1	mitochondrion	Ischnura_senegalensis		urasoe11M5	5	Japan:_Okinawa,_Urasoe				
dbjAB758088.1	mitochondrion	Ischnura_senegalensis		urasoe11M4	5	Japan:_Okinawa,_Urasoe				
dbjAB758087.1	mitochondrion	Ischnura_senegalensis		urasoe11M3	5	Japan:_Okinawa,_Urasoe				
dbjAB758084.1	mitochondrion	Ischnura_senegalensis		takeda11F6	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758083.1	mitochondrion	Ischnura_senegalensis		takeda11F5	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758082.1	mitochondrion	Ischnura_senegalensis		takeda11F4	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758081.1	mitochondrion	Ischnura_senegalensis		takeda11F3	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758080.1	mitochondrion	Ischnura_senegalensis		takeda11F2	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758079.1	mitochondrion	Ischnura_senegalensis		takeda11F1	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758078.1	mitochondrion	Ischnura_senegalensis		takeda09M2	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758077.1	mitochondrion	Ischnura_senegalensis		takeda09M1	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758076.1	mitochondrion	Ischnura_senegalensis		shimomasu09M1	5	Japan:_Miyagi,_Natori				
dbjAB758075.1	mitochondrion	Ischnura_senegalensis		shimoma09M2	5	Japan:_Miyagi,_Natori				
dbjAB758074.1	mitochondrion	Ischnura_senegalensis		shimoma09M1	5	Japan:_Miyagi,_Natori				
dbjAB758071.1	mitochondrion	Ischnura_senegalensis		ozutsumi09M6	5	Japan:_Fukui,_Sakai				
dbjAB758065.1	mitochondrion	Ischnura_senegalensis		otto11M19	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758064.1	mitochondrion	Ischnura_senegalensis		otto11M14	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758063.1	mitochondrion	Ischnura_senegalensis		otto11M13	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758062.1	mitochondrion	Ischnura_senegalensis		otto11M12	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758061.1	mitochondrion	Ischnura_senegalensis		otto11M11	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758060.1	mitochondrion	Ischnura_senegalensis		otto11M10	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758059.1	mitochondrion	Ischnura_senegalensis		otto09M2	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758058.1	mitochondrion	Ischnura_senegalensis		otto09M1	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758056.1	mitochondrion	Ischnura_senegalensis		osato09M7	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB758054.1	mitochondrion	Ischnura_senegalensis		osato09M5	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB758053.1	mitochondrion	Ischnura_senegalensis		osato09M4	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB758051.1	mitochondrion	Ischnura_senegalensis		osato09M2	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB758049.1	mitochondrion	Ischnura_senegalensis		okinou11M5	5	Japan:_Okinawa,_Itoman				
dbjAB758048.1	mitochondrion	Ischnura_senegalensis		okinou11M4	5	Japan:_Okinawa,_Itoman				
dbjAB758047.1	mitochondrion	Ischnura_senegalensis		okinou11M3	5	Japan:_Okinawa,_Itoman				
dbjAB758045.1	mitochondrion	Ischnura_senegalensis		okinou11M1	5	Japan:_Okinawa,_Itoman				
dbjAB758043.1	mitochondrion	Ischnura_senegalensis		okinou11F2	5	Japan:_Okinawa,_Itoman				
dbjAB758042.1	mitochondrion	Ischnura_senegalensis		okinou11F1	5	Japan:_Okinawa,_Itoman				
dbjAB758040.1	mitochondrion	Ischnura_senegalensis		ohori09M1	5	Japan:_Fukuoka,_Fukuoka				
dbjAB758038.1	mitochondrion	Ischnura_senegalensis		ohori09F5	5	Japan:_Fukuoka,_Fukuoka				
dbjAB758037.1	mitochondrion	Ischnura_senegalensis		ohori09F4	5	Japan:_Fukuoka,_Fukuoka				
dbjAB758036.1	mitochondrion	Ischnura_senegalensis		ohori09F3	5	Japan:_Fukuoka,_Fukuoka				
dbjAB758035.1	mitochondrion	Ischnura_senegalensis		natorichosei09M11	5	Japan:_Miyagi,_Natori				
dbjAB758034.1	mitochondrion	Ischnura_senegalensis		natorichosei09F7	5	Japan:_Miyagi,_Natori				
dbjAB758033.1	mitochondrion	Ischnura_senegalensis		natorichosei09F6	5	Japan:_Miyagi,_Natori				
dbjAB758032.1	mitochondrion	Ischnura_senegalensis		natorichosei09F5	5	Japan:_Miyagi,_Natori				
dbjAB758031.1	mitochondrion	Ischnura_senegalensis		natorichosei09F10	5	Japan:_Miyagi,_Natori				
dbjAB758030.1	mitochondrion	Ischnura_senegalensis		natori09M2	5	Japan:_Miyagi,_Natori				
dbjAB758029.1	mitochondrion	Ischnura_senegalensis		natori09M1	5	Japan:_Miyagi,_Natori				
dbjAB758028.1	mitochondrion	Ischnura_senegalensis		nakane11M9	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758027.1	mitochondrion	Ischnura_senegalensis		nakane11M8	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758026.1	mitochondrion	Ischnura_senegalensis		nakane11M7	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758025.1	mitochondrion	Ischnura_senegalensis		nakane11M6	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758023.1	mitochondrion	Ischnura_senegalensis		nakane11M4	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758022.1	mitochondrion	Ischnura_senegalensis		nakane11M3	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758021.1	mitochondrion	Ischnura_senegalensis		nakane11M2	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758020.1	mitochondrion	Ischnura_senegalensis		nakane11M10	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758018.1	mitochondrion	Ischnura_senegalensis		mizumoto09M8	5	Japan:_Tokyo,_Katsushika				
dbjAB758017.1	mitochondrion	Ischnura_senegalensis		mizumoto09M7	5	Japan:_Tokyo,_Katsushika				
dbjAB758016.1	mitochondrion	Ischnura_senegalensis		mizumoto09M6	5	Japan:_Tokyo,_Katsushika				
dbjAB758015.1	mitochondrion	Ischnura_senegalensis		mizumoto09M5	5	Japan:_Tokyo,_Katsushika				
dbjAB758014.1	mitochondrion	Ischnura_senegalensis		mizumoto09M4	5	Japan:_Tokyo,_Katsushika				
dbjAB758013.1	mitochondrion	Ischnura_senegalensis		mizumoto09M3	5	Japan:_Tokyo,_Katsushika				
dbjAB758012.1	mitochondrion	Ischnura_senegalensis		mizumo09M2	5	Japan:_Tokyo,_Katsushika				
dbjAB758011.1	mitochondrion	Ischnura_senegalensis		mizumo09M1	5	Japan:_Tokyo,_Katsushika				
dbjAB757974.1	mitochondrion	Ischnura_senegalensis		kaji09M8	5	Japan:_Kagoshima,_Aira				
dbjAB757971.1	mitochondrion	Ischnura_senegalensis		kaji09M5	5	Japan:_Kagoshima,_Aira				
dbjAB757970.1	mitochondrion	Ischnura_senegalensis		kaji09M4	5	Japan:_Kagoshima,_Aira				
dbjAB757969.1	mitochondrion	Ischnura_senegalensis		kaji09M3	5	Japan:_Kagoshima,_Aira				
dbjAB757968.1	mitochondrion	Ischnura_senegalensis		kaji09M2	5	Japan:_Kagoshima,_Aira				
dbjAB757965.1	mitochondrion	Ischnura_senegalensis		ishin11M6	5	Japan:_Aichi,_Nagoya				
dbjAB757961.1	mitochondrion	Ischnura_senegalensis		ishin11M2	5	Japan:_Aichi,_Nagoya				
dbjAB757957.1	mitochondrion	Ischnura_senegalensis		ikeuchi09M6	5	Japan:_Okayama,_Okayama				
dbjAB757951.1	mitochondrion	Ischnura_senegalensis		ikebana11M8	5	Japan:_Ibaraki,_Omitama				
dbjAB757950.1	mitochondrion	Ischnura_senegalensis		ikebana11M7	5	Japan:_Ibaraki,_Omitama				
dbjAB757949.1	mitochondrion	Ischnura_senegalensis		ikebana11M6	5	Japan:_Ibaraki,_Omitama				
dbjAB757948.1	mitochondrion	Ischnura_senegalensis		ikebana11M5	5	Japan:_Ibaraki,_Omitama				
dbjAB757947.1	mitochondrion	Ischnura_senegalensis		ikebana11M4	5	Japan:_Ibaraki,_Omitama				
dbjAB757946.1	mitochondrion	Ischnura_senegalensis		ikebana11M2	5	Japan:_Ibaraki,_Omitama				
dbjAB757945.1	mitochondrion	Ischnura_senegalensis		ikebana11M1	5	Japan:_Ibaraki,_Omitama				
dbjAB757944.1	mitochondrion	Ischnura_senegalensis		ikebana09M1	5	Japan:_Ibaraki,_Omitama				
dbjAB757942.1	mitochondrion	Ischnura_senegalensis		ibusuki11M6	5	Japan:_Kagoshima,_Ibusuki				
dbjAB757941.1	mitochondrion	Ischnura_senegalensis		ibusuki11M5	5	Japan:_Kagoshima,_Ibusuki				
dbjAB757940.1	mitochondrion	Ischnura_senegalensis		ibusuki11M4	5	Japan:_Kagoshima,_Ibusuki				
dbjAB757938.1	mitochondrion	Ischnura_senegalensis		ibusuki11M2	5	Japan:_Kagoshima,_Ibusuki				
dbjAB757937.1	mitochondrion	Ischnura_senegalensis		ibusuki11M1	5	Japan:_Kagoshima,_Ibusuki				
dbjAB757936.1	mitochondrion	Ischnura_senegalensis		ibusuki11F1	5	Japan:_Kagoshima,_Ibusuki				
dbjAB757926.1	mitochondrion	Ischnura_senegalensis		heiwa11M6	5	Japan:_Okinawa,_Itoman				
dbjAB757910.1	mitochondrion	Ischnura_senegalensis		fukudai09F9	5	Japan:_Fukuoka,_Fukuoka				
dbjAB757908.1	mitochondrion	Ischnura_senegalensis		fukudai09F6	5	Japan:_Fukuoka,_Fukuoka				
dbjAB757907.1	mitochondrion	Ischnura_senegalensis		fukudai09F5	5	Japan:_Fukuoka,_Fukuoka				
dbjAB757906.1	mitochondrion	Ischnura_senegalensis		fukudai09F10	5	Japan:_Fukuoka,_Fukuoka				
dbjAB757905.1	mitochondrion	Ischnura_senegalensis		banna11M8	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB757904.1	mitochondrion	Ischnura_senegalensis		banna11M7	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB757901.1	mitochondrion	Ischnura_senegalensis		banna11M4	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB757899.1	mitochondrion	Ischnura_senegalensis		banna11M2	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB757898.1	mitochondrion	Ischnura_senegalensis		banna11M1	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB757896.1	mitochondrion	Ischnura_senegalensis		asahata11M5	5	Japan:_Shizuoka,_Shizuoka				
dbjAB757894.1	mitochondrion	Ischnura_senegalensis		asahata11M3	5	Japan:_Shizuoka,_Shizuoka				
dbjAB757889.1	mitochondrion	Ischnura_senegalensis		amami11M4	5	Japan:_Kagoshima,_Yamato,_Is._Amami-Oshima				
dbjAB757888.1	mitochondrion	Ischnura_senegalensis		amami11M3	5	Japan:_Kagoshima,_Yamato,_Is._Amami-Oshima				
dbjAB757887.1	mitochondrion	Ischnura_senegalensis		amami11M2	5	Japan:_Kagoshima,_Yamato,_Is._Amami-Oshima				
dbjAB757886.1	mitochondrion	Ischnura_senegalensis		amami11M1	5	Japan:_Kagoshima,_Yamato,_Is._Amami-Oshima				
dbjAB757884.1	mitochondrion	Ischnura_senegalensis		amami11F3	5	Japan:_Kagoshima,_Yamato,_Is._Amami-Oshima				
dbjAB757883.1	mitochondrion	Ischnura_senegalensis		amami11F2	5	Japan:_Kagoshima,_Yamato,_Is._Amami-Oshima				
dbjAB757882.1	mitochondrion	Ischnura_senegalensis		amami11F1	5	Japan:_Kagoshima,_Yamato,_Is._Amami-Oshima				
dbjAB757881.1	mitochondrion	Ischnura_senegalensis		akogi11F2	5	Japan:_Ibaraki,_Tokai				
dbjAB757880.1	mitochondrion	Ischnura_senegalensis		akogi11F1	5	Japan:_Ibaraki,_Tokai				
dbjAB757879.1	mitochondrion	Ischnura_senegalensis		akogi09M6	5	Japan:_Ibaraki,_Tokai				
dbjAB757878.1	mitochondrion	Ischnura_senegalensis		akogi09M5	5	Japan:_Ibaraki,_Tokai				
dbjAB757877.1	mitochondrion	Ischnura_senegalensis		akogi09M4	5	Japan:_Ibaraki,_Tokai				
dbjAB757876.1	mitochondrion	Ischnura_senegalensis		akogi09M3	5	Japan:_Ibaraki,_Tokai				
dbjAB757875.1	mitochondrion	Ischnura_senegalensis		akogi09M2	5	Japan:_Ibaraki,_Tokai				
dbjAB757874.1	mitochondrion	Ischnura_senegalensis		akogi09M1	5	Japan:_Ibaraki,_Tokai				
gbKF369416.1	mitochondrion	Ischnura_senegalensis	RMNH.INS.501241		5	Malaysia:_Sarawak	2.35_N	01-Jan-2010	Dow,_R.A.	barcode
refNC_060418.1	mitochondrion	Ischnura_senegalensis			5	China		15-Jun-2019		
gbMW135330.1	mitochondrion	Ischnura_senegalensis		TN1	5					
gbHQ986240.1	mitochondrion	Ischnura_posita	BIOUG<CAN>:10BBODA-0142		5	USA	27.2524_N	19-Mar-2010	Biobus_2010	barcode
gbHM424065.1	mitochondrion	Odonata_sp._BOLD:AAH6889	NIBGE_IMB-00259		5	Pakistan	30.7167_N	18-Oct-2009	A._Rasool	barcode
gbGU711559.1	mitochondrion	Ischnura_sp._BOLD:AAA2219	BIOUG<CAN>:09BBODO-053		5	USA	34.8378_N	12-May-2009	J.Cossey,_J.McCormick,_J.Sones	barcode
gbHM381227.1	mitochondrion	Ischnura_verticalis	BIOUG<CAN>:08BBODO-326		5	Canada	48.59_N	19-Aug-2008	J.Straka,J.Cossey	barcode
gbMN206478.1	mitochondrion	Ischnura_senegalensis	NSMK-IN-180100470141		5					
gbMN206477.1	mitochondrion	Ischnura_senegalensis	NSMK-IN-180100469140		5					
gbMN206476.1	mitochondrion	Ischnura_senegalensis	NSMK-IN-180100468139		5					
gbKY844956.1	mitochondrion	Rhodischnura_nursei	BIOUG16241-F12		5	Pakistan:_Islamabad,_Islamabad,_Pakistan_Museum_of_Natural_History	33.6863_N	29-May-2012	M.Rafique,_Q.Abbas	barcode
gbMK774300.1	mitochondrion	Ischnura_senegalensis	OPU_BS_2017-081-DT-OD		5					
gbMG450314.1	mitochondrion	Ischnura_sp._GZPL-086	GZPL-086		5	Canada:_Ontario,_Pond_in_the_other_side_Guelph_Lake	43.616_N	29-Oct-2015	Martha_Valdez-Moreno,_Manuel_Elias-Gutierrez	barcode
gbMG449768.1	mitochondrion	Ischnura_kellicotti	GZPL-087		5	Canada:_Ontario,_Pond_in_the_other_side_Guelph_Lake	43.616_N	29-Oct-2015	Martha_Valdez-Moreno,_Manuel_Elias-Gutierrez	barcode
gbMG449710.1	mitochondrion	Ischnura_sp._BIOUG27652-E07	BIOUG27652-E07		5	Mexico:_Tlaxcala,_Chipila	19.481_N	18-Nov-2014	Manuel_Elias_Gutierrez,_Ana_Martinez_Caballero	barcode
gbMG375306.1	mitochondrion	Ischnura_kellicotti	BIOUG24298-C04		5	Canada:_Ontario,_Cambridge,_rare_Charitable_Research_Reserve,_Site_3	43.3908_N	27-May-2015	BIO_Collections_Staff	barcode
gbKT879905.1	mitochondrion	Ischnura_senegalensis	RADF-23		5	India				
gbKM537224.1	mitochondrion	Coenagrionidae_sp._BOLD:AAA2219	BIOUG04972-B02		5	Canada:_Ontario,_Point_Pelee_NP,_Cactus_Field	41.939_N	18-May-2012	Heidi_Brown	barcode
gbMG379400.1	mitochondrion	Ischnura_verticalis	BIOUG24298-C08		5	Canada:_Ontario,_Cambridge,_rare_Charitable_Research_Reserve,_Site_3	43.391_N	25-May-2015	BIO_Collections_Staff	barcode
gbKM531820.1	mitochondrion	Ischnura_verticalis	08OMSOD-0039		5	Canada:_Ontario,_Pukaskwa_NP,_Hattie_Cove_Campground	48.589_N	18-Aug-2008	BIObus_2008	barcode
gbKM530285.1	mitochondrion	Ischnura_verticalis	08SOODO-0038		5	Canada:_Ontario,_Point_Pelee_NP	41.94_N	03-Jun-2008	BIObus_2008	barcode
gbKM528340.1	mitochondrion	Ischnura_sp._BOLD:AAI2161	08OMSOD-0183		5	Canada:_Manitoba,_Riding_Mountain_NP,_Moon_Lake	50.881_N	13-Jul-2008	BIObus_2008	barcode
dbjAB758004.1	mitochondrion	Ischnura_senegalensis		mitarase11F1	5	Japan:_Niigata,_Niigata				
dbjAB758003.1	mitochondrion	Ischnura_senegalensis		mitara11M3	5	Japan:_Niigata,_Niigata				
dbjAB758001.1	mitochondrion	Ischnura_senegalensis		kyoei11M3	5	Japan:_Mie,_Kuwana				
dbjAB758000.1	mitochondrion	Ischnura_senegalensis		kyoei11M2	5	Japan:_Mie,_Kuwana				
dbjAB757998.1	mitochondrion	Ischnura_senegalensis		konan09M8	5	Japan:_Okayama,_Okayama				
dbjAB757997.1	mitochondrion	Ischnura_senegalensis		konan09M7	5	Japan:_Okayama,_Okayama				
dbjAB757996.1	mitochondrion	Ischnura_senegalensis		konan09M6	5	Japan:_Okayama,_Okayama				
dbjAB757993.1	mitochondrion	Ischnura_senegalensis		konan09M1	5	Japan:_Okayama,_Okayama				
dbjAB757990.1	mitochondrion	Ischnura_senegalensis		kirara09M5	5	Japan:_Yamaguchi,_Yamaguchi				
dbjAB757989.1	mitochondrion	Ischnura_senegalensis		kirara09M4	5	Japan:_Yamaguchi,_Yamaguchi				
dbjAB757988.1	mitochondrion	Ischnura_senegalensis		kirara09M3	5	Japan:_Yamaguchi,_Yamaguchi				
dbjAB757986.1	mitochondrion	Ischnura_senegalensis		kirara09F2	5	Japan:_Yamaguchi,_Yamaguchi				
dbjAB757984.1	mitochondrion	Ischnura_senegalensis		kanazawa11M8	5	Japan:_Ishikawa,_Kanazawa				
dbjAB757982.1	mitochondrion	Ischnura_senegalensis		kanazawa11M6	5	Japan:_Ishikawa,_Kanazawa				
dbjAB757981.1	mitochondrion	Ischnura_senegalensis		kanazawa11M5	5	Japan:_Ishikawa,_Kanazawa				
dbjAB757980.1	mitochondrion	Ischnura_senegalensis		kanazawa11M4	5	Japan:_Ishikawa,_Kanazawa				
dbjAB757979.1	mitochondrion	Ischnura_senegalensis		kanazawa11M3	5	Japan:_Ishikawa,_Kanazawa				
dbjAB757978.1	mitochondrion	Ischnura_senegalensis		kanazawa11M2	5	Japan:_Ishikawa,_Kanazawa				
dbjAB757977.1	mitochondrion	Ischnura_senegalensis		kanaza11M1	5	Japan:_Ishikawa,_Kanazawa				
dbjAB757976.1	mitochondrion	Ischnura_senegalensis		kaji11M2	5	Japan:_Kagoshima,_Aira				
dbjAB757985.1	mitochondrion	Ischnura_senegalensis		kirara09F1	5	Japan:_Yamaguchi,_Yamaguchi				
dbjAB758100.1	mitochondrion	Ischnura_senegalensis		yonago09M8	5	Japan:_Tottori,_Yonago				
dbjAB758099.1	mitochondrion	Ischnura_senegalensis		yonago09M7	5	Japan:_Tottori,_Yonago				
dbjAB758098.1	mitochondrion	Ischnura_senegalensis		yonago09M6	5	Japan:_Tottori,_Yonago				
dbjAB758097.1	mitochondrion	Ischnura_senegalensis		yonago09M5	5	Japan:_Tottori,_Yonago				
dbjAB758095.1	mitochondrion	Ischnura_senegalensis		yonago09M3	5	Japan:_Tottori,_Yonago				
dbjAB758085.1	mitochondrion	Ischnura_senegalensis		urasoe11M1	5	Japan:_Okinawa,_Urasoe				
dbjAB758068.1	mitochondrion	Ischnura_senegalensis		ozutsumi09M3	5	Japan:_Fukui,_Sakai				
dbjAB758067.1	mitochondrion	Ischnura_senegalensis		ozutsu09M2	5	Japan:_Fukui,_Sakai				
dbjAB758066.1	mitochondrion	Ischnura_senegalensis		ozutsu09M1	5	Japan:_Fukui,_Sakai				
dbjAB758052.1	mitochondrion	Ischnura_senegalensis		osato09M3	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB758050.1	mitochondrion	Ischnura_senegalensis		osato09M1	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB758046.1	mitochondrion	Ischnura_senegalensis		okinou11M2	5	Japan:_Okinawa,_Itoman				
dbjAB758024.1	mitochondrion	Ischnura_senegalensis		nakane11M5	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758019.1	mitochondrion	Ischnura_senegalensis		nakane11M1	5	Japan:_Ibaraki,_Tsukuba				
dbjAB758010.1	mitochondrion	Ischnura_senegalensis		mitarase11M8	5	Japan:_Niigata,_Niigata				
dbjAB758009.1	mitochondrion	Ischnura_senegalensis		mitarase11M7	5	Japan:_Niigata,_Niigata				
dbjAB758008.1	mitochondrion	Ischnura_senegalensis		mitarase11M6	5	Japan:_Niigata,_Niigata				
dbjAB758007.1	mitochondrion	Ischnura_senegalensis		mitarase11M4	5	Japan:_Niigata,_Niigata				
dbjAB758006.1	mitochondrion	Ischnura_senegalensis		mitarase11M2	5	Japan:_Niigata,_Niigata				
dbjAB758005.1	mitochondrion	Ischnura_senegalensis		mitarase11M1	5	Japan:_Niigata,_Niigata				
dbjAB757973.1	mitochondrion	Ischnura_senegalensis		kaji09M7	5	Japan:_Kagoshima,_Aira				
dbjAB757972.1	mitochondrion	Ischnura_senegalensis		kaji09M6	5	Japan:_Kagoshima,_Aira				
dbjAB757967.1	mitochondrion	Ischnura_senegalensis		ishin11M8	5	Japan:_Aichi,_Nagoya				
dbjAB757964.1	mitochondrion	Ischnura_senegalensis		ishin11M5	5	Japan:_Aichi,_Nagoya				
dbjAB757963.1	mitochondrion	Ischnura_senegalensis		ishin11M4	5	Japan:_Aichi,_Nagoya				
dbjAB757960.1	mitochondrion	Ischnura_senegalensis		ishin11M1	5	Japan:_Aichi,_Nagoya				
dbjAB757959.1	mitochondrion	Ischnura_senegalensis		ikeuchi09M8	5	Japan:_Okayama,_Okayama				
dbjAB757958.1	mitochondrion	Ischnura_senegalensis		ikeuchi09M7	5	Japan:_Okayama,_Okayama				
dbjAB757956.1	mitochondrion	Ischnura_senegalensis		ikeuchi09M5	5	Japan:_Okayama,_Okayama				
dbjAB757955.1	mitochondrion	Ischnura_senegalensis		ikeuchi09M4	5	Japan:_Okayama,_Okayama				
dbjAB757954.1	mitochondrion	Ischnura_senegalensis		ikeuchi09M3	5	Japan:_Okayama,_Okayama				
dbjAB757952.1	mitochondrion	Ischnura_senegalensis		ikeuchi09M1	5	Japan:_Okayama,_Okayama				
dbjAB757943.1	mitochondrion	Ischnura_senegalensis		ibusuki11M8	5	Japan:_Kagoshima,_Ibusuki				
dbjAB757939.1	mitochondrion	Ischnura_senegalensis		ibusuki11M3	5	Japan:_Kagoshima,_Ibusuki				
dbjAB757935.1	mitochondrion	Ischnura_senegalensis		hekura11M8	5	Japan:_Ishikawa,_Wajima,_Is._Hegura				
dbjAB757934.1	mitochondrion	Ischnura_senegalensis		hekura11M7	5	Japan:_Ishikawa,_Wajima,_Is._Hegura				
dbjAB757933.1	mitochondrion	Ischnura_senegalensis		hekura11M6	5	Japan:_Ishikawa,_Wajima,_Is._Hegura				
dbjAB757932.1	mitochondrion	Ischnura_senegalensis		hekura11M5	5	Japan:_Ishikawa,_Wajima,_Is._Hegura				
dbjAB757931.1	mitochondrion	Ischnura_senegalensis		hekura11M4	5	Japan:_Ishikawa,_Wajima,_Is._Hegura				
dbjAB757930.1	mitochondrion	Ischnura_senegalensis		hekura11M3	5	Japan:_Ishikawa,_Wajima,_Is._Hegura				
dbjAB757929.1	mitochondrion	Ischnura_senegalensis		hekura11M2	5	Japan:_Ishikawa,_Wajima,_Is._Hegura				
dbjAB757928.1	mitochondrion	Ischnura_senegalensis		hekura11M1	5	Japan:_Ishikawa,_Wajima,_Is._Hegura				
dbjAB757924.1	mitochondrion	Ischnura_senegalensis		heiwa11M4	5	Japan:_Okinawa,_Itoman				
dbjAB757923.1	mitochondrion	Ischnura_senegalensis		heiwa11M3	5	Japan:_Okinawa,_Itoman				
dbjAB757922.1	mitochondrion	Ischnura_senegalensis		heiwa11M2	5	Japan:_Okinawa,_Itoman				
dbjAB757920.1	mitochondrion	Ischnura_senegalensis		heiwa11F1	5	Japan:_Okinawa,_Itoman				
dbjAB757919.1	mitochondrion	Ischnura_senegalensis		gochi09M8	5	Japan:_Niigata,_Joetsu				
dbjAB757918.1	mitochondrion	Ischnura_senegalensis		gochi09M7	5	Japan:_Niigata,_Joetsu				
dbjAB757917.1	mitochondrion	Ischnura_senegalensis		gochi09M6	5	Japan:_Niigata,_Joetsu				
dbjAB757916.1	mitochondrion	Ischnura_senegalensis		gochi09M5	5	Japan:_Niigata,_Joetsu				
dbjAB757915.1	mitochondrion	Ischnura_senegalensis		gochi09M4	5	Japan:_Niigata,_Joetsu				
dbjAB757914.1	mitochondrion	Ischnura_senegalensis		gochi09M3	5	Japan:_Niigata,_Joetsu				
dbjAB757913.1	mitochondrion	Ischnura_senegalensis		gochi09M2	5	Japan:_Niigata,_Joetsu				
dbjAB757912.1	mitochondrion	Ischnura_senegalensis		gochi09M1	5	Japan:_Niigata,_Joetsu				
dbjAB757909.1	mitochondrion	Ischnura_senegalensis		fukudai09F8	5	Japan:_Fukuoka,_Fukuoka				
dbjAB757903.1	mitochondrion	Ischnura_senegalensis		banna11M6	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB757897.1	mitochondrion	Ischnura_senegalensis		asahata11M6	5	Japan:_Shizuoka,_Shizuoka				
dbjAB757895.1	mitochondrion	Ischnura_senegalensis		asahata11M4	5	Japan:_Shizuoka,_Shizuoka				
dbjAB757893.1	mitochondrion	Ischnura_senegalensis		asahata09M8	5	Japan:_Shizuoka,_Shizuoka				
dbjAB757892.1	mitochondrion	Ischnura_senegalensis		asahata09M7	5	Japan:_Shizuoka,_Shizuoka				
dbjAB757890.1	mitochondrion	Ischnura_senegalensis		asahata09M1	5	Japan:_Shizuoka,_Shizuoka				
gbHM381230.1	mitochondrion	Ischnura_sp._ODSO825-08	BIOUG<CAN>:08BBODO-335		5	Canada	48.59_N	19-Aug-2008	J.Straka,J.Cossey	barcode
gbHM381229.1	mitochondrion	Ischnura_verticalis	BIOUG<CAN>:08BBODO-334		5	Canada	48.59_N	19-Aug-2008	J.Straka,J.Cossey	barcode
gbHM381220.1	mitochondrion	Ischnura_sp._ODSO389-08	BIOUG<CAN>:08OMSOD-0182		5	Canada	50.881_N	13-Jul-2008	J.Cossey,_N.Jeffery,_J.Straka	barcode
gbMF358821.1	mitochondrion	Ischnura_senegalensis		Haikou.2	5					
gbMF358848.1	mitochondrion	Ischnura_senegalensis		Chenzhou.6	5					
gbMF358818.1	mitochondrion	Ischnura_senegalensis		Huzhou.5	5					
