Accession	Location	Organism	Specimen_Voucher	Isolate	Gcode	Country	Lat_lon	Collection_date	Collected_by	Tech
gbMH450003.1	mitochondrion	Ischnura_saharensis		7003	5	Mauritania:_Aghrmakoum		Jul-2006	E._Durand_J._Renoult	
gbMH449993.1	mitochondrion	Ischnura_elegans		6694	5	USA:_Batumi_Georgia		Oct-1997	H.J._Dumont	
gbMH449982.1	mitochondrion	Ischnura_elegans		6727	5	Belgium:_Affligem		May-1999	H.J._Dumont	
gbMF458738.1	mitochondrion	Ischnura_elegans		T_P60	5	France:_Durance_River				
refNC_031824.1	mitochondrion	Ischnura_elegans			5	Germany				
gbOQ693852.1	mitochondrion	Ischnura_elegans	CNU11497		5	South_Korea:_Yongin				
gbOP913230.1	mitochondrion	Ischnura_elegans		E13	5	Portugal:_Vila_Nova_de_Cerveira,_International_Minho_River			Nuno_Gomes	
embOV121114.2	mitochondrion	Ischnura_elegans			5					
refNC_063728.1	mitochondrion	Ischnura_asiatica			5					
gbKF369415.1	mitochondrion	Ischnura_elegans	RMNH.INS.228277		5	Netherlands			Van_Tol,_J.	barcode
gbMW208399.1	mitochondrion	Ischnura_elegans		Odo0202	5	Austria				
gbMW208398.1	mitochondrion	Ischnura_elegans		Odo0056	5	Austria				
gbMW208397.1	mitochondrion	Ischnura_elegans		Odo_Alb_05	5	Albania				
gbMW208396.1	mitochondrion	Ischnura_elegans		Odo_Alb_10	5	Albania				
gbMW208394.1	mitochondrion	Ischnura_elegans		Odo_Alb_06	5	Albania				
gbMW208393.1	mitochondrion	Ischnura_elegans		Odo_Alb_04	5	Albania				
gbMW208391.1	mitochondrion	Ischnura_elegans		Odo_Cro_03	5	Croatia				
gbMW490468.1	mitochondrion	Ischnura_elegans	GBOL05461		5	Greece:_Evros,_Alexandropolis	40.846_N	10-Jun-2014	H._Muehle	barcode
gbMW490463.1	mitochondrion	Ischnura_elegans	ODOPL_152		5	Poland:_Wadolek_Lake,_Wigry_National_Park	54.112_N	12-Jun-2019	Grzegorz_Tonczyk	barcode
gbMW490459.1	mitochondrion	Ischnura_elegans	GBOL_20207		5	Germany:_Bavaria,_Oberbayern,_Garmisch-Partenkirchen,_Bad_Kohlgrub	47.6668_N	12-Jul-2018	Stefan_Koch	barcode
gbMW490434.1	mitochondrion	Ischnura_elegans	GBOL_20254		5	Germany:_Bavaria,_Oberbayern,_Penzberg,_Eitzenberger_Weiher	47.7852_N	17-Jun-2018	Stefan_Koch	barcode
gbMW490420.1	mitochondrion	Ischnura_elegans	GBOL05510		5	Germany:_Bavaria,_Storchenmoosweiher	47.709_N	01-Jun-2014	M._Franzen	barcode
